4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
TUMOR BIOLOGY,该期刊已被SCI剔除，相关阅读：这些期刊已被SCI剔除！投稿需谨慎！,2017年7月18日，Web of Science引文数据库所有者团队决定该刊自2017年7月起不再被Web of Science数据库旗下的SCI收录。,LetPub助力作者发表在《TUMOR BIOL》上的文章案例，致谢部分提及LetPub---1篇,
TUMORI,医学 ,4区,ONCOLOGY;肿瘤学;3区;3区;4区,否,否,医学 ,4区,ONCOLOGY;肿瘤学;3区;3区;4区,否,否
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,工程技术 ,3区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;1区;3区;3区;ENGINEERING& CIVIL;工程：土木;3区;2区;2区,否,否,工程技术 ,1区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;1区;3区;3区;ENGINEERING& CIVIL;工程：土木;3区;2区;2区,是,否
Turkish Journal of Geriatrics-Turk Geriatri Dergisi,医学 ,4区,GERIATRICS & GERONTOLOGY;老年医学;4区;1区;4区,否,否,医学 ,4区,GERIATRICS & GERONTOLOGY;老年医学;4区;1区;4区,否,否
Turk Gogus Kalp Damar Cerrahisi Dergisi-Turkish Journal of Thoracic and Cardiovascular Surgery,医学 ,4区,SURGERY;外科;2区;4区;4区,否,否,医学 ,4区,SURGERY;外科;2区;4区;4区,否,否
TURK PEDIATRI ARSIVI-TURKISH ARCHIVES OF PEDIATRICS,
TURKDERM-ARCHIVES OF THE TURKISH DERMATOLOGY AND VENEROLOGY,
Turkish Journal of Agriculture and Forestry,农林科学 ,3区,AGRONOMY;农艺学;3区;2区;3区,否,否,农林科学 ,3区,AGRONOMY;农艺学;3区;2区;3区,否,否
Turkish Journal of Biochemistry-Turk Biyokimya Dergisi,生物 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;2区;4区,否,否,生物学 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;2区;4区,否,否
TURKISH JOURNAL OF BIOLOGY,生物 ,4区,BIOLOGY;生物学;1区;4区;4区,否,否,生物学 ,4区,BIOLOGY;生物学;1区;4区;4区,否,否
TURKISH JOURNAL OF BOTANY,生物 ,4区,PLANT SCIENCES;植物科学;4区;2区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;4区;2区;4区,否,否
TURKISH JOURNAL OF CHEMISTRY,化学 ,4区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;4区;4区;ENGINEERING& CHEMICAL;工程：化工;1区;1区;4区,否,否,化学 ,4区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;4区;4区;ENGINEERING& CHEMICAL;工程：化工;1区;1区;4区,否,否
TURKISH JOURNAL OF EARTH SCIENCES,地学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;2区;4区,否,否,地球科学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;2区;2区;4区,否,否
Turkish Journal of Electrical Engineering and Computer Sciences,工程技术 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;2区;2区;4区;ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;1区;2区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;2区;2区;4区;ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;1区;2区;4区,否,否
Turkish Journal of Field Crops,农林科学 ,4区,AGRONOMY;农艺学;3区;2区;4区,否,否,农林科学 ,4区,AGRONOMY;农艺学;3区;2区;4区,否,否
Turkish Journal of Fisheries and Aquatic Sciences,农林科学 ,4区,FISHERIES;渔业;1区;2区;4区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;4区;3区;4区,否,否,农林科学 ,4区,FISHERIES;渔业;1区;2区;4区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;4区;3区;4区,否,否
Turkish Journal of Gastroenterology,医学 ,4区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;4区;2区;4区,否,否,医学 ,4区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;4区;2区;4区,否,否
Turkish Journal of Hematology,医学 ,4区,HEMATOLOGY;血液学;4区;3区;4区,否,否,医学 ,4区,HEMATOLOGY;血液学;4区;3区;4区,否,否
Turkish Journal of Mathematics,数学 ,4区,MATHEMATICS;数学;3区;3区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;3区;4区,否,否
Turkish Journal Of Medical Sciences,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;1区;2区;4区,否,否,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;1区;2区;4区,否,否
TURKISH JOURNAL OF PEDIATRICS,医学 ,4区,PEDIATRICS;儿科;4区;4区;4区,否,否,医学 ,4区,PEDIATRICS;儿科;4区;4区;4区,否,否
Turkish Journal of Rheumatology,
TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;3区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;3区;4区,否,否
TURKISH JOURNAL OF ZOOLOGY,生物 ,4区,ZOOLOGY;动物学;1区;4区;4区,否,否,生物学 ,4区,ZOOLOGY;动物学;1区;4区;4区,否,否
Turkish Neurosurgery,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;4区;3区;4区;SURGERY;外科;1区;4区;4区,否,否,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;4区;3区;4区;SURGERY;外科;1区;4区;4区,否,否
TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY,农林科学 ,4区,ENTOMOLOGY;昆虫学;2区;1区;4区,否,否,农林科学 ,4区,ENTOMOLOGY;昆虫学;2区;1区;4区,否,否
Turkiye Fiziksel Tip ve Rehabilitasyon Dergisi-Turkish Journal of Physical Medicine and Rehabilitation,
Turkiye Klinikleri Tip Bilimleri Dergisi,
Twin Research and Human Genetics,医学 ,4区,GENETICS & HEREDITY;遗传学;2区;4区;4区;OBSTETRICS & GYNECOLOGY;妇产科学;3区;1区;4区,否,否,医学 ,4区,GENETICS & HEREDITY;遗传学;2区;4区;4区;OBSTETRICS & GYNECOLOGY;妇产科学;3区;1区;4区,否,否
UHOD-Uluslararasi Hematoloji-Onkoloji Dergisi,医学 ,4区,ONCOLOGY;肿瘤学;2区;3区;4区,否,否,医学 ,4区,ONCOLOGY;肿瘤学;2区;3区;4区,否,否
Ukrainian Journal of Physical Optics,物理 ,4区,OPTICS;光学;4区;2区;4区,否,否,物理与天体物理 ,4区,OPTICS;光学;4区;2区;4区,否,否
Ukrainian Mathematical Journal,数学 ,4区,MATHEMATICS;数学;2区;2区;4区;MATHEMATICS& APPLIED;应用数学;4区;2区;4区,否,否,数学 ,4区,MATHEMATICS;数学;2区;2区;4区;MATHEMATICS& APPLIED;应用数学;4区;2区;4区,否,否
ULTRAMICROSCOPY,工程技术 ,3区,MICROSCOPY;显微镜技术;3区;1区;1区,是,否,工程技术 ,2区,MICROSCOPY;显微镜技术;3区;1区;1区,是,否
ULTRASCHALL IN DER MEDIZIN,医学 ,2区,ACOUSTICS;声学;2区;3区;1区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;2区;1区;2区,是,否,医学 ,2区,ACOUSTICS;声学;2区;3区;1区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;2区;1区;2区,否,否
ULTRASONIC IMAGING,医学 ,4区,ACOUSTICS;声学;1区;1区;3区;ENGINEERING& BIOMEDICAL;工程：生物医学;1区;3区;3区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;4区;2区;3区,否,否,工程技术 ,3区,ACOUSTICS;声学;1区;1区;3区;ENGINEERING& BIOMEDICAL;工程：生物医学;1区;3区;3区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;4区;2区;3区,否,否
ULTRASONICS,物理 ,3区,ACOUSTICS;声学;3区;4区;3区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;2区;1区;3区,否,否,物理与天体物理 ,2区,ACOUSTICS;声学;3区;4区;3区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;2区;1区;3区,否,否
ULTRASONICS SONOCHEMISTRY,化学 ,2区,ACOUSTICS;声学;1区;1区;1区;CHEMISTRY& MULTIDISCIPLINARY;化学综合;4区;3区;2区,是,否,化学 ,1区,ACOUSTICS;声学;1区;1区;1区;CHEMISTRY& MULTIDISCIPLINARY;化学综合;4区;3区;2区,是,否
ULTRASOUND IN MEDICINE AND BIOLOGY,医学 ,3区,ACOUSTICS;声学;4区;2区;3区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;4区;3区;3区,否,否,医学 ,3区,ACOUSTICS;声学;4区;2区;3区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;4区;3区;3区,否,否
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,医学 ,2区,ACOUSTICS;声学;2区;1区;1区;OBSTETRICS & GYNECOLOGY;妇产科学;2区;3区;1区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;3区;3区;2区,是,否,医学 ,1区,ACOUSTICS;声学;2区;1区;1区;OBSTETRICS & GYNECOLOGY;妇产科学;2区;3区;1区;RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;3区;3区;2区,是,否
ULTRASTRUCTURAL PATHOLOGY,医学 ,4区,MICROSCOPY;显微镜技术;1区;1区;4区;PATHOLOGY;病理学;2区;3区;4区,否,否,工程技术 ,4区,MICROSCOPY;显微镜技术;1区;1区;4区;PATHOLOGY;病理学;2区;3区;4区,否,否
Ulusal Travma ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery,医学 ,4区,EMERGENCY MEDICINE;急救医学;4区;1区;4区,否,否,医学 ,4区,EMERGENCY MEDICINE;急救医学;4区;1区;4区,否,否
Undersea and Hyperbaric Medicine,医学 ,4区,MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;3区;1区;4区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;2区;1区;4区,否,否,医学 ,4区,MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;3区;1区;4区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;2区;1区;4区,否,否
UNFALLCHIRURG,医学 ,4区,EMERGENCY MEDICINE;急救医学;2区;2区;4区;SURGERY;外科;4区;2区;4区,否,否,医学 ,4区,EMERGENCY MEDICINE;急救医学;2区;2区;4区;SURGERY;外科;4区;2区;4区,否,否
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,数学 ,4区,MATHEMATICS& APPLIED;应用数学;1区;2区;4区;PHYSICS& MULTIDISCIPLINARY;物理：综合;3区;4区;4区,否,否,数学 ,4区,MATHEMATICS& APPLIED;应用数学;1区;2区;4区;PHYSICS& MULTIDISCIPLINARY;物理：综合;3区;4区;4区,否,否
UPSALA JOURNAL OF MEDICAL SCIENCES,医学 ,3区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;4区;3区,否,否,医学 ,3区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;4区;3区,否,否
URBAN FORESTRY & URBAN GREENING,LetPub助力作者发表在《URBAN FOR URBAN GREE》上的文章案例，致谢部分提及LetPub---2篇,环境科学与生态学 ,3区,FORESTRY;林学;3区;3区;2区,否,否,环境科学与生态学 ,2区,FORESTRY;林学;3区;3区;2区,否,否
Urban Water Journal,环境科学与生态学 ,3区,WATER RESOURCES;水资源;3区;3区;3区,否,否,环境科学与生态学 ,3区,WATER RESOURCES;水资源;3区;3区;3区,否,否
UROLOGE,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;3区;3区;4区,否,否,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;3区;3区;4区,否,否
UROLOGIA INTERNATIONALIS,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;3区;2区;4区,否,否,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;3区;2区;4区,否,否
UROLOGIC CLINICS OF NORTH AMERICA,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;4区;1区;3区,否,否,医学 ,3区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;4区;1区;3区,否,否
UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,医学 ,3区,ONCOLOGY;肿瘤学;4区;1区;3区;UROLOGY & NEPHROLOGY;泌尿学与肾脏学;1区;4区;2区,否,否,医学 ,4区,ONCOLOGY;肿瘤学;4区;1区;3区;UROLOGY & NEPHROLOGY;泌尿学与肾脏学;1区;4区;2区,否,否
UROLOGICAL RESEARCH,近期经LetPub修改并发表在《UROL RES》的论文范例,
UROLOGY,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;1区;2区;3区,否,否,医学 ,3区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;1区;2区;3区,否,否
Urology Journal,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;2区;1区;4区,否,否,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;2区;1区;4区,否,否
URSUS,生物 ,4区,ZOOLOGY;动物学;3区;4区;4区,否,否,生物学 ,3区,ZOOLOGY;动物学;3区;4区;4区,否,否
USER MODELING AND USER-ADAPTED INTERACTION,工程技术 ,2区,COMPUTER SCIENCE& CYBERNETICS;计算机：控制论;3区;1区;2区,否,否,计算机科学 ,2区,COMPUTER SCIENCE& CYBERNETICS;计算机：控制论;3区;1区;2区,否,否
UTILITAS MATHEMATICA,数学 ,4区,MATHEMATICS& APPLIED;应用数学;2区;4区;4区;STATISTICS & PROBABILITY;统计学与概率论;2区;1区;4区,否,否,数学 ,4区,MATHEMATICS& APPLIED;应用数学;2区;4区;4区;STATISTICS & PROBABILITY;统计学与概率论;2区;1区;4区,否,否
VACCINE,近期发表在《VACCINE》的范例1,近期发表在《VACCINE》的范例2,经LetPub修改润色后发表在《VACCINE》上，作者来信感谢的范例---1篇,医学 ,3区,IMMUNOLOGY;免疫学;4区;2区;3区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;1区;3区;3区,否,否,医学 ,2区,IMMUNOLOGY;免疫学;4区;2区;3区;MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;1区;3区;3区,是,否
VACUUM,工程技术 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;1区;4区;PHYSICS& APPLIED;物理：应用;1区;3区;4区,否,否,材料科学 ,2区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;1区;4区;PHYSICS& APPLIED;物理：应用;1区;3区;4区,否,否
VADOSE ZONE JOURNAL,期刊VADOSE ZONE JOURNAL推荐LetPub的编辑服务,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;3区;SOIL SCIENCE;土壤科学;1区;2区;3区;WATER RESOURCES;水资源;3区;4区;2区,否,否,地球科学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;3区;3区;3区;SOIL SCIENCE;土壤科学;1区;2区;3区;WATER RESOURCES;水资源;3区;4区;2区,否,否
VALUE IN HEALTH,医学 ,2区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;4区;1区;1区,是,否,医学 ,1区,HEALTH CARE SCIENCES & SERVICES;卫生保健与服务;4区;1区;1区,是,否
Vasa-European Journal of Vascular Medicine,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;1区;3区;4区,否,否,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;1区;3区;4区,否,否
Vascular,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;3区;1区;4区,否,否,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;3区;1区;4区,否,否
Vascular and Endovascular Surgery,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;4区;4区;4区;SURGERY;外科;3区;4区;4区,否,否,医学 ,4区,PERIPHERAL VASCULAR DISEASE;外周血管病;4区;4区;4区;SURGERY;外科;3区;4区;4区,否,否
VASCULAR MEDICINE,医学 ,3区,PERIPHERAL VASCULAR DISEASE;外周血管病;3区;4区;4区,否,否,医学 ,3区,PERIPHERAL VASCULAR DISEASE;外周血管病;3区;4区;4区,否,否
VASCULAR PHARMACOLOGY,医学 ,2区,PHARMACOLOGY & PHARMACY;药学;3区;1区;2区,否,否,医学 ,3区,PHARMACOLOGY & PHARMACY;药学;3区;1区;2区,否,否
VECTOR-BORNE AND ZOONOTIC DISEASES,LetPub助力作者发表在《VECTOR-BORNE ZOONOT》上的文章案例，致谢部分提及LetPub---1篇,医学 ,4区,INFECTIOUS DISEASES;传染病学;4区;2区;4区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;4区;3区,否,否,医学 ,4区,INFECTIOUS DISEASES;传染病学;4区;2区;4区;PUBLIC& ENVIRONMENTAL & OCCUPATIONAL HEALTH;公共卫生、环境卫生与职业卫生;1区;4区;3区,否,否
VEGETATION HISTORY AND ARCHAEOBOTANY,地学 ,3区,PALEONTOLOGY;古生物学;1区;3区;2区;PLANT SCIENCES;植物科学;3区;1区;3区,否,否,地球科学 ,2区,PALEONTOLOGY;古生物学;1区;3区;2区;PLANT SCIENCES;植物科学;3区;1区;3区,否,否
Vegetos,
VEHICLE SYSTEM DYNAMICS,工程技术 ,3区,ENGINEERING& MECHANICAL;工程：机械;2区;1区;3区,否,否,工程技术 ,2区,ENGINEERING& MECHANICAL;工程：机械;2区;1区;3区,否,否
VELIGER,
VERHALTENSTHERAPIE,医学 ,4区,PSYCHIATRY;精神病学;3区;1区;4区,否,否,医学 ,4区,PSYCHIATRY;精神病学;3区;1区;4区,否,否
Veterinaria,
Veterinaria Italiana,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;1区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;1区;4区,否,否
VETERINARIA MEXICO,农林科学 ,4区,VETERINARY SCIENCES;兽医学;4区;4区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;4区;4区;4区,否,否
Veterinarija ir Zootechnika,
Veterinární medicína,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;4区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;4区;4区,否,否
VETERINARSKI ARHIV,农林科学 ,4区,VETERINARY SCIENCES;兽医学;4区;2区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;4区;2区;4区,否,否
VETERINARY ANAESTHESIA AND ANALGESIA,农林科学 ,3区,VETERINARY SCIENCES;兽医学;4区;3区;2区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;4区;3区;2区,否,否
Veterinary and Comparative Oncology,农林科学 ,2区,VETERINARY SCIENCES;兽医学;3区;3区;2区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;3区;3区;2区,是,否
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;2区;4区;ZOOLOGY;动物学;2区;4区;4区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;1区;2区;4区;ZOOLOGY;动物学;2区;4区;4区,否,否
VETERINARY CLINICAL PATHOLOGY,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;1区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;1区;4区,否,否
VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;3区;4区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;1区;3区;4区,否,否
VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE,农林科学 ,3区,VETERINARY SCIENCES;兽医学;3区;1区;3区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;3区;1区;3区,否,否
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,农林科学 ,3区,VETERINARY SCIENCES;兽医学;1区;4区;3区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;1区;4区;3区,否,否
VETERINARY DERMATOLOGY,农林科学 ,3区,DERMATOLOGY;皮肤病学;2区;4区;4区;VETERINARY SCIENCES;兽医学;2区;3区;3区,否,否,农林科学 ,3区,DERMATOLOGY;皮肤病学;2区;4区;4区;VETERINARY SCIENCES;兽医学;2区;3区;3区,否,否
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,农林科学 ,3区,IMMUNOLOGY;免疫学;1区;3区;4区;VETERINARY SCIENCES;兽医学;3区;3区;2区,否,否,农林科学 ,2区,IMMUNOLOGY;免疫学;1区;3区;4区;VETERINARY SCIENCES;兽医学;3区;3区;2区,否,否
VETERINARY JOURNAL,农林科学 ,3区,VETERINARY SCIENCES;兽医学;4区;2区;2区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;4区;2区;2区,否,否
VETERINARY MICROBIOLOGY,经LetPub修改润色后发表在《VET MICROBIOL》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《VET MICROBIOL》上的文章案例，致谢部分提及LetPub---3篇,农林科学 ,2区,MICROBIOLOGY;微生物学;4区;1区;3区;VETERINARY SCIENCES;兽医学;2区;2区;1区,是,否,农林科学 ,2区,MICROBIOLOGY;微生物学;4区;1区;3区;VETERINARY SCIENCES;兽医学;2区;2区;1区,是,否
VETERINARY OPHTHALMOLOGY,农林科学 ,4区,VETERINARY SCIENCES;兽医学;4区;3区;4区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;4区;3区;4区,否,否
VETERINARY PARASITOLOGY,近期经LetPub修改并发表在《VET PARASITOL》的论文范例,农林科学 ,2区,PARASITOLOGY;寄生虫学;2区;1区;3区;VETERINARY SCIENCES;兽医学;2区;2区;2区,是,否,农林科学 ,2区,PARASITOLOGY;寄生虫学;2区;1区;3区;VETERINARY SCIENCES;兽医学;2区;2区;2区,是,否
VETERINARY PATHOLOGY,农林科学 ,2区,PATHOLOGY;病理学;3区;2区;4区;VETERINARY SCIENCES;兽医学;3区;3区;2区,否,否,农林科学 ,2区,PATHOLOGY;病理学;3区;2区;4区;VETERINARY SCIENCES;兽医学;3区;3区;2区,否,否
Veterinary Practitioner,
VETERINARY QUARTERLY,农林科学 ,3区,VETERINARY SCIENCES;兽医学;3区;4区;3区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;3区;4区;3区,否,否
VETERINARY RADIOLOGY & ULTRASOUND,农林科学 ,4区,VETERINARY SCIENCES;兽医学;2区;1区;4区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;2区;1区;4区,否,否
VETERINARY RECORD,农林科学 ,2区,VETERINARY SCIENCES;兽医学;4区;2区;2区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;4区;2区;2区,否,否
VETERINARY RESEARCH,LetPub助力作者发表在《VET RES》上的文章案例，致谢部分提及LetPub---1篇,农林科学 ,2区,VETERINARY SCIENCES;兽医学;4区;4区;1区,是,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;4区;4区;1区,是,否
VETERINARY RESEARCH COMMUNICATIONS,农林科学 ,3区,VETERINARY SCIENCES;兽医学;1区;2区;3区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;2区;3区,否,否
VETERINARY SURGERY,农林科学 ,4区,VETERINARY SCIENCES;兽医学;3区;4区;3区,否,否,农林科学 ,2区,VETERINARY SCIENCES;兽医学;3区;4区;3区,否,否
VETERINARY THERAPEUTICS,
VIBRATIONAL SPECTROSCOPY,化学 ,4区,CHEMISTRY& ANALYTICAL;分析化学;3区;1区;4区;CHEMISTRY& PHYSICAL;物理化学;2区;2区;4区;SPECTROSCOPY;光谱学;2区;2区;4区,否,否,化学 ,3区,CHEMISTRY& ANALYTICAL;分析化学;3区;1区;4区;CHEMISTRY& PHYSICAL;物理化学;2区;2区;4区;SPECTROSCOPY;光谱学;2区;2区;4区,否,否
VIE ET MILIEU-LIFE AND ENVIRONMENT,环境科学与生态学 ,4区,ECOLOGY;生态学;4区;2区;4区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;2区;4区;4区,否,否,环境科学与生态学 ,4区,ECOLOGY;生态学;4区;2区;4区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;2区;4区;4区,否,否
VIRAL IMMUNOLOGY,医学 ,4区,IMMUNOLOGY;免疫学;4区;4区;4区;VIROLOGY;病毒学;3区;2区;4区,否,否,医学 ,4区,IMMUNOLOGY;免疫学;4区;4区;4区;VIROLOGY;病毒学;3区;2区;4区,否,否
VIRCHOWS ARCHIV,医学 ,3区,PATHOLOGY;病理学;1区;2区;3区,否,否,医学 ,3区,PATHOLOGY;病理学;1区;2区;3区,否,否
VIRCHOWS ARCHIV FUR PATHOLOGISCHE ANATOMIE UND PHYSIOLOGIE UND FUR KLINISCHE MEDIZIN,
VIROLOGIE,医学 ,4区,VIROLOGY;病毒学;1区;1区;4区,否,是,医学 ,4区,VIROLOGY;病毒学;1区;1区;4区,否,是
VIROLOGY,医学 ,3区,VIROLOGY;病毒学;1区;4区;3区,否,否,医学 ,3区,VIROLOGY;病毒学;1区;4区;3区,否,否
Virology Journal,医学 ,3区,VIROLOGY;病毒学;1区;3区;4区,否,否,医学 ,3区,VIROLOGY;病毒学;1区;3区;4区,否,否
VIRUS GENES,医学 ,4区,GENETICS & HEREDITY;遗传学;4区;4区;4区;VIROLOGY;病毒学;4区;3区;4区,否,否,医学 ,4区,GENETICS & HEREDITY;遗传学;4区;4区;4区;VIROLOGY;病毒学;4区;3区;4区,否,否
